state,acres,tillable_acres
 Alabama,565,378
 Arkansas,12878,11288
 California,11586,9911
 Colorado,24507,23058
 Florida,4870,3207
 Georgia,4705,3577
 Illinios,728,715
 Illinois,37224,NA
 Kansas,1959,1898
 Louisiana,16837,13835
 Michigan,549,434
 Mississippi,2814,2479
 Nebraska,5939,5437
 North Carolina,16571,14421
 South Carolina,13754,10988
 South Dakota,1690,1475
 Virginia,1244,972
